690.7 3285
671.6 3226
623.4 3055
612.3 3009
607.3 2986
579.1 2852
577.0 2841
546.1 2663
491.6 2244
435.8 1582
434.8 1567
433.9 1552
407.8 1095
404.7 1030

Final set of parameters            Asymptotic Standard Error
=======================            ==========================

a               = 5.36093e-015     +/- 9.337e-016   (17.42%)
b               = -4.8101e-011     +/- 1.038e-011   (21.58%)
c               = 1.79519e-007     +/- 4.466e-008   (24.88%)
d               = -0.000318238     +/- 9.245e-005   (29.05%)
e               = 0.318316         +/- 0.09153      (28.75%)
f               = 266.05           +/- 34.48        (12.96%) 
