U    , I_6cm  , I_2cm
# [V], [nA]   , [nA]
1    , 0.00023, 0.00177
2    , 0.0008 , 0.0036
3    , 0.0016 , 0.0044
4    , 0.00241, 0.0047
5    , 0.0032 , 0.0051
6    , 0.004  , 0.0053
7    , 0.0047 , 0.0055
8    , 0.0053 , 0.0056
9    , 0.0059 , 0.0056
10   , 0.0064 , 0.0057
20   , 0.0089 , 0.006
30   , 0.0097 , 0.0062
40   , 0.0101 , 0.0061
50   , 0.0105 , 0.0064
60   , 0.0107 , 0.0066
70   , 0.0108 , 0.0068
80   , 0.0111 , 0.0066
90   , 0.0114 , 0.0069
100  , 0.0114 , 0.0066
200  , 0.0116 , 0.0067
300  , 0.012  , 0.0068
400  , 0.0124 , 0.0066
500  , 0.0125 , 0.0068
