Wavenumber, Abs.Intensity, Rel.Intensity, Width          , Threshold, Shoulder
2064.6516 , 0.855        , 0.098        , 0.508	28.343225, 0        , 
2069.0851 , 0.837        , 0.111        , 0.483	33.701679, 0        , 
2073.5304 , 0.806        , 0.141        , 0.526	43.254185, 0        , 
2077.9008 , 0.784        , 0.167        , 0.518	50.500248, 0        , 
2082.2569 , 0.761        , 0.189        , 0.511	57.911480, 0        , 
2086.5799 , 0.741        , 0.210        , 0.517	63.829166, 0        , 
2090.8648 , 0.728        , 0.222        , 0.543	68.551697, 0        , 
2095.1022 , 0.706        , 0.245        , 0.530	74.900772, 0        , 
2099.3432 , 0.686        , 0.262        , 0.529	80.493080, 0        , 
2103.5172 , 0.665        , 0.284        , 0.518	87.292992, 0        , 
2107.6665 , 0.663        , 0.286        , 0.548	88.167290, 0        , 
2111.7902 , 0.659        , 0.287        , 0.540	88.543800, 0        , 
2115.8714 , 0.652        , 0.297        , 0.544	91.274117, 0        , 
2119.9255 , 0.645        , 0.305        , 0.529	94.305389, 0        , 
2123.9596 , 0.647        , 0.301        , 0.543	93.261101, 0        , 
2127.9279 , 0.667        , 0.278        , 0.545	86.020203, 0        , 
2131.8942 , 0.685        , 0.261        , 0.532	80.858490, 0        , 
2135.8022 , 0.721        , 0.224        , 0.505	68.962143, 0        , 
2139.6800 , 0.788        , 0.157        , 0.517	48.245243, 0        , 
2147.3483 , 0.783        , 0.162        , 0.508	50.327278, 0        , 
2151.1126 , 0.723        , 0.222        , 0.542	68.710106, 0        , 
2154.8524 , 0.672        , 0.272        , 0.526	84.241997, 0        , 
2158.5531 , 0.657        , 0.284        , 0.541	88.269653, 0        , 
2162.2344 , 0.641        , 0.304        , 0.543	94.061577, 0        , 
2165.8703 , 0.631        , 0.318        , 0.541	96.643898, 0        , 
2169.4657 , 0.632        , 0.310        , 0.544	96.291710, 0        , 
2173.0116 , 0.632        , 0.309        , 0.544	95.791008, 0        , 
2176.5446 , 0.630        , 0.523        , 0.534	137.74855, 0        , 0
2180.0298 , 0.652        , 0.293        , 0.547	89.975922, 0        , 
2183.4930 , 0.658        , 0.289        , 0.529	88.755592, 0        , 
2186.9018 , 0.666        , 0.281        , 0.531	86.428230, 0        , 
2190.2820 , 0.687        , 0.260        , 0.526	80.361000, 0        , 
2193.6277 , 0.709        , 0.239        , 0.526	73.048126, 0        , 
2196.9284 , 0.738        , 0.211        , 0.539	64.114235, 0        , 
2200.1904 , 0.750        , 0.198        , 0.514	60.863094, 0        , 
2203.4269 , 0.780        , 0.169        , 0.533	51.207447, 0        , 
2206.6245 , 0.804        , 0.144        , 0.529	44.278473, 0        , 
2209.7843 , 0.823        , 0.127        , 0.516	38.716885, 0        , 
2212.9045 , 0.844        , 0.102        , 0.505	31.060394, 0        , 
2215.9764 , 0.868        , 0.082        , 0.524	24.107031, 0        , 
