U_c    , I_100, I_80 , I_60 , I_40
353.681, 1.688, 2.156, 2.952, 4.62
340.245, 1.658, 2.116, 2.912, 4.548
330.323, 1.627, 2.077, 2.86 , 4.457
320.215, 1.596, 2.047, 2.808, 4.407
309.644, 1.566, 2.016, 2.757, 4.316
300.392, 1.546, 1.976, 2.717, 4.257
290.36 , 1.516, 1.936, 2.667, 4.186
278.97 , 1.487, 1.896, 2.617, 4.105
270.459, 1.457, 1.867, 2.566, 4.023
260.887, 1.428, 1.827, 2.516, 3.953
251.699, 1.397, 1.797, 2.466, 3.892
240.822, 1.367, 1.75 , 2.416, 3.781
229.914, 1.327, 1.708, 2.347, 3.691
219.355, 1.297, 1.658, 2.287, 3.6
209.364, 1.256, 1.617, 2.237, 3.531
201.423, 1.226, 1.577, 2.186, 3.422
191.065, 1.177, 1.527, 2.126, 3.341
180.27 , 1.116, 1.457, 2.046, 3.231
169.27 , 1.066, 1.397, 1.976, 3.162
161.53 , 1.046, 1.348, 1.907, 3.052
148.583, 0.976, 1.267, 1.808, 2.902
