U    , I578  , I546  , I436  , I405  , I365
# [V], [nA]  , [nA]  , [nA]  , [nA]  , [nA]
0    , 0.095 , 0.478 , 0.341 , 0.231 , 0.553
0.05 , 0.086 , 0.44  , 0.316 , 0.216 , 0.521
0.1  , 0.078 , 0.403 , 0.293 , 0.2   , 0.489
0.15 , 0.069 , 0.365 , 0.267 , 0.185 , 0.458
0.2  , 0.06  , 0.328 , 0.246 , 0.171 , 0.427
0.25 , 0.052 , 0.292 , 0.225 , 0.157 , 0.399
0.3  , 0.044 , 0.258 , 0.206 , 0.144 , 0.371
0.35 , 0.038 , 0.226 , 0.186 , 0.131 , 0.344
0.4  , 0.029 , 0.197 , 0.166 , 0.119 , 0.317
0.45 , 0.025 , 0.169 , 0.149 , 0.108 , 0.293
0.5  , 0.019 , 0.143 , 0.134 , 0.097 , 0.269
0.55 , 0.014 , 0.12  , 0.118 , 0.086 , 0.246
0.6  , 0.011 , 0.098 , 0.103 , 0.077 , 0.224
0.65 , 0.007 , 0.077 , 0.089 , 0.067 , 0.204
0.7  , 0.004 , 0.059 , 0.076 , 0.059 , 0.185
0.75 , 0.001 , 0.042 , 0.065 , 0.051 , 0.167
0.8  , -0.001, 0.027 , 0.054 , 0.043 , 0.15
0.85 , -0.003, 0.014 , 0.044 , 0.037 , 0.134
0.9  , -0.004, 0.003 , 0.036 , 0.031 , 0.119
0.95 , -0.005, -0.004, 0.027 , 0.025 , 0.105
1    , -0.006, -0.012, 0.02  , 0.02  , 0.091
1.05 , -0.007, -0.021, 0.014 , 0.015 , 0.086
1.1  , -0.007, -0.025, 0.008 , 0.01  , 0.067
1.15 , -0.007, -0.024, 0.003 , 0.007 , 0.056
1.2  , -0.007, -0.025, 0     , 0.003 , 0.048
1.25 , -0.007, -0.027, -0.004, 0     , 0.038
1.3  , -0.008, -0.028, -0.007, -0.001, 0.029
1.35 , -0.008, -0.029, -0.01 , -0.004, 0.021
1.4  , -0.008, -0.029, -0.013, -0.006, 0.014
1.45 , -0.008, -0.03 , -0.015, -0.008, 0.008
1.5  , -0.008, -0.03 , -0.017, -0.009, 0.002
1.55 , -0.008, -0.03 , -0.018, -0.011, 0
1.6  , -0.008, -0.03 , -0.02 , -0.012, -0.031
1.65 , -0.008, -0.03 , -0.021, -0.013, -0.009
1.7  , -0.008, -0.031, -0.021, -0.014, -0.005
1.75 , -0.008, -0.031, -0.022, -0.015, -0.017
1.8  , -0.008, -0.031, -0.023, -0.016, -0.021
1.85 , -0.008, -0.031, -0.023, -0.016, -0.023
1.9  , -0.008, -0.031, -0.023, -0.017, -0.026
1.95 , -0.008, -0.032, -0.024, -0.017, -0.027
2    , -0.008, -0.031, -0.024, -0.017, -0.028
2.05 ,       ,       , -0.024, -0.018, -0.032
2.1  ,       ,       , -0.024, -0.018, -0.032
2.15 ,       ,       , -0.025, -0.018, -0.033
2.2  ,       ,       , -0.025, -0.018, -0.034
2.25 ,       ,       , -0.026, -0.018, -0.035
2.3  ,       ,       , -0.026, -0.018, -0.036
2.35 ,       ,       , -0.025, -0.019, -0.037
2.4  ,       ,       , -0.025, -0.019, -0.037
2.45 ,       ,       , -0.027, -0.019, -0.037
2.5  ,       ,       , -0.026, -0.019, -0.037
2.55 ,       ,       ,       ,       , -0.045
2.6  ,       ,       ,       ,       , -0.034
2.65 ,       ,       ,       ,       , -0.034
2.7  ,       ,       ,       ,       , -0.038
2.75 ,       ,       ,       ,       , -0.039
2.8  ,       ,       ,       ,       , -0.039
2.85 ,       ,       ,       ,       , -0.038
2.9  ,       ,       ,       ,       , -0.04
2.95 ,       ,       ,       ,       , -0.038
3    ,       ,       ,       ,       , -0.039
