U    , GKV  , GKE
# [V], I[nA], I[nA]
#    ,      , použit filtr 546
0    , 0.393, 0.857
1    , 1.014, 2.17
2    , 1.527, 3.02
3    , 1.918, 3.66
4    , 2.18 , 4.13
5    , 2.41 , 4.46
6    , 2.64 , 4.72
7    , 2.91 , 4.96
8    , 3.14 , 5.15
9    , 3.32 , 5.3
10   , 3.54 , 5.44
11   , 3.74 , 5.59
12   , 3.92 , 5.68
13   , 4.1  , 5.78
14   , 4.23 , 5.86
15   , 4.36 , 5.94
16   , 4.48 , 6.04
17   , 4.57 , 6.09
18   , 4.66 , 6.15
19   , 4.73 , 6.23
20   , 4.8  , 6.29
21   , 4.85 , 6.37
22   , 4.91 , 6.44
23   , 4.95 , 6.54
24   , 5.01 , 6.63
25   , 5.04 , 6.78
26   , 5.06 , 6.9
27   , 5.08 , 7.01
28   , 5.12 , 7.11
29   , 5.16 , 7.19
30   , 5.19 , 7.28
31   , 5.21 , 7.4
32   , 5.24 , 7.52
33   , 5.27 , 7.65
34   , 5.28 , 7.78
35   , 5.29 , 7.93
36   , 5.31 , 8.1
37   , 5.34 , 8.27
38   , 5.42 , 8.46
#    ,      , problem fotonky
39   , 5.94 , 8.65
40   , 5.96 , 8.84
41   , 5.98 , 9.03
42   , 6    , 9.25
43   , 6.01 , 9.45
44   , 6.02 , 9.64
45   , 6.03 , 9.82
46   , 6.05 , 10.01
47   , 6.06 , 10.23
48   , 6.08 , 10.41
49   , 6.1  , 10.62
50   , 6.11 , 10.9
51   , 6.13 , 11.16
52   , 6.16 , 11.4
53   , 6.18 , 11.66
54   , 6.2  , 11.96
55   , 6.19 , 12.23
56   , 6.21 , 12.54
57   , 6.22 , 12.85
58   , 6.23 , 13.16
59   , 6.23 , 13.46
60   , 6.26 , 13.81
61   , 6.27 , 14.14
62   , 6.29 , 14.43
63   , 6.31 , 14.76
64   , 6.33 , 15.04
65   , 6.34 , 15.41
66   , 6.37 , 15.76
67   , 6.38 , 16.08
68   , 6.38 , 16.48
69   , 6.38 , 16.84
70   , 6.39 , 17.27
71   , 6.4  , 17.73
72   , 6.4  , 18.19
73   , 6.41 , 18.65
74   , 6.41 , 19.1
75   , 6.42 , 19.56
76   , 6.43 , 20.06
77   , 6.43 , 20.58
78   , 6.46 , 21.1
79   , 6.48 , 21.7
80   , 6.49 , 22.2
81   , 6.5  , 22.8
82   , 6.51 , 23.3
83   , 6.55 , 24
84   , 6.57 , 24.7
85   , 6.58 , 25.3
86   , 6.58 , 26
87   , 6.6  , 26.8
88   , 6.63 , 27.5
89   , 6.63 , 28.2
90   , 6.64 , 29
91   , 6.62 , 29.8
92   , 6.6  , 30.7
93   , 6.59 , 31.6
94   , 6.61 , 32.4
95   , 6.63 , 33.4
96   , 6.65 , 34.4
97   , 6.64 , 35.4
98   , 6.64 , 36.5
99   , 6.64 , 37.6
100  , 6.67 , 38.8
